# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 1)   0.360 us    |                        up_write();
 1)               |                        __put_anon_vma() {
 1)   0.396 us    |                          kmem_cache_free();
 1)   1.116 us    |                        }
 1)   0.408 us    |                        kmem_cache_free();
 1)   4.778 us    |                      }
 1)               |                      unlink_file_vma() {
 1)   0.372 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.420 us    |                          vma_interval_tree_remove();
 1)   1.093 us    |                        }
 1)   0.372 us    |                        up_write();
 1)   3.205 us    |                      }
 1)   0.384 us    |                      unlink_anon_vmas();
 1)               |                      unlink_file_vma() {
 1)   0.588 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.588 us    |                          vma_interval_tree_remove();
 1)   1.284 us    |                        }
 1)   0.372 us    |                        up_write();
 1)   3.698 us    |                      }
 1)   0.372 us    |                      unlink_anon_vmas();
 1)               |                      unlink_file_vma() {
 1)   0.373 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   1.753 us    |                          vma_interval_tree_remove();
 1)   2.449 us    |                        }
 1)   0.372 us    |                        up_write();
 1)   4.574 us    |                      }
 1)               |                      unlink_anon_vmas() {
 1)   0.373 us    |                        down_write();
 1)   0.492 us    |                        anon_vma_interval_tree_remove();
 1)   0.396 us    |                        kmem_cache_free();
 1)   0.360 us    |                        up_write();
 1)   3.482 us    |                      }
 1)               |                      unlink_file_vma() {
 1)   0.372 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.408 us    |                          vma_interval_tree_remove();
 1)   1.117 us    |                        }
 1)   0.372 us    |                        up_write();
 1)   3.229 us    |                      }
 1)               |                      unlink_anon_vmas() {
 1)   0.360 us    |                        down_write();
 1)   0.372 us    |                        anon_vma_interval_tree_remove();
 1)   0.360 us    |                        up_write();
 1)               |                        __put_anon_vma() {
 1)   0.409 us    |                          kmem_cache_free();
 1)   1.117 us    |                        }
 1)   0.636 us    |                        kmem_cache_free();
 1)   5.006 us    |                      }
 1)               |                      unlink_file_vma() {
 1)   0.373 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.696 us    |                          vma_interval_tree_remove();
 1)   1.368 us    |                        }
 1)   0.361 us    |                        up_write();
 1)   3.494 us    |                      }
 1)   0.384 us    |                      unlink_anon_vmas();
 1)               |                      unlink_file_vma() {
 1)   0.372 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.636 us    |                          vma_interval_tree_remove();
 1)   1.428 us    |                        }
 1)   0.360 us    |                        up_write();
 1)   3.566 us    |                      }
 1)               |                      unlink_anon_vmas() {
 1)   0.372 us    |                        down_write();
 1)   0.384 us    |                        anon_vma_interval_tree_remove();
 1)   0.360 us    |                        up_write();
 1)               |                        __put_anon_vma() {
 1)   0.396 us    |                          kmem_cache_free();
 1)   1.128 us    |                        }
 1)   0.385 us    |                        kmem_cache_free();
 1)   4.958 us    |                      }
 1)   0.384 us    |                      unlink_file_vma();
 1)   0.372 us    |                      unlink_anon_vmas();
 1)               |                      unlink_file_vma() {
 1)   0.552 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.492 us    |                          vma_interval_tree_remove();
 1)   1.200 us    |                        }
 1)   0.372 us    |                        up_write();
 1)   3.590 us    |                      }
 1)               |                      unlink_anon_vmas() {
 1)   0.372 us    |                        down_write();
 1)   0.492 us    |                        anon_vma_interval_tree_remove();
 1)   0.396 us    |                        kmem_cache_free();
 1)   0.372 us    |                        up_write();
 1)   3.625 us    |                      }
 1)               |                      unlink_file_vma() {
 1)   0.360 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.528 us    |                          vma_interval_tree_remove();
 1)   1.236 us    |                        }
 1)   0.372 us    |                        up_write();
 1)   3.361 us    |                      }
 1)               |                      unlink_anon_vmas() {
 1)   0.360 us    |                        down_write();
 1)   0.385 us    |                        anon_vma_interval_tree_remove();
 1)   0.360 us    |                        up_write();
 1)               |                        __put_anon_vma() {
 1)   0.396 us    |                          kmem_cache_free();
 1)   1.117 us    |                        }
 1)   0.384 us    |                        kmem_cache_free();
 1)   4.742 us    |                      }
 1)               |                      unlink_file_vma() {
 1)   0.372 us    |                        down_write();
 1)               |                        __remove_shared_vm_struct.isra.1() {
 1)   0.612 us    |                          vma_interval_tree_remove();
 1)   1.320 us    |                        }
 1)   0.360 us    |                        up_write();
 1)   3.433 us    |                      }
 1)               |                      unlink_anon_vmas() {
 1)   0.372 us    |                        down_write();
 1)   0.372 us    |                        anon_vma_interval_tree_remove();
 1)   0.361 us    |                        up_write();
 1)               |                        __put_anon_vma() {
 1)   0.396 us    |                          kmem_cache_free();
 1)   1.104 us    |                        }
 1)   0.396 us    |                        kmem_cache_free();
 1)   4.850 us    |                      }
 1)   0.372 us    |                      unlink_file_vma();
 1)               |                      free_pgd_range() {
 1)               |                        ___pte_free_tlb() {
 1)   0.421 us    |                          dec_zone_page_state();
 1)   0.384 us    |                          __tlb_remove_page_size();
 1)   1.885 us    |                        }
 1)               |                        ___pte_free_tlb() {
 1)   0.372 us    |                          dec_zone_page_state();
 1)   0.360 us    |                          __tlb_remove_page_size();
 1)   1.801 us    |                        }
 1)               |                        ___pte_free_tlb() {
